Date,Price,Open,High,Low,Vol.,Change %
10-Sep-13,6583.99,6530.74,6599.51,6530.74,730.04M,0.82%
9-Sep-13,6530.74,6547.33,6555.86,6508.76,586.57M,-0.25%
6-Sep-13,6547.33,6532.44,6568.18,6492.49,606.30M,0.23%
5-Sep-13,6532.44,6474.74,6543.22,6461.68,758.35M,0.89%
4-Sep-13,6474.74,6468.41,6486.40,6423.51,717.07M,0.10%
3-Sep-13,6468.41,6506.19,6523.16,6456.95,737.86M,-0.58%
2-Sep-13,6506.19,6412.93,6532.30,6412.93,596.60M,1.45%
30-Aug-13,6412.93,6483.05,6502.19,6409.60,797.04M,-1.08%
29-Aug-13,6483.05,6430.06,6500.51,6429.95,876.30M,0.82%
28-Aug-13,6430.06,6440.97,6440.97,6393.65,748.56M,-0.17%
27-Aug-13,6440.97,6492.10,6494.20,6424.00,760.40M,-0.79%
23-Aug-13,6492.10,6446.87,6516.71,6422.35,485.42M,0.70%
22-Aug-13,6446.87,6390.84,6468.88,6390.62,501.84M,0.88%
21-Aug-13,6390.84,6453.46,6453.55,6386.72,607.07M,-0.97%
20-Aug-13,6453.46,6465.73,6465.73,6398.63,620.94M,-0.19%
19-Aug-13,6465.73,6499.99,6506.59,6457.73,467.69M,-0.53%
16-Aug-13,6499.99,6483.34,6502.27,6461.30,637.58M,0.26%
15-Aug-13,6483.34,6587.43,6587.88,6460.12,667.13M,-1.58%
14-Aug-13,6587.43,6611.94,6627.96,6582.58,678.15M,-0.37%
13-Aug-13,6611.94,6574.34,6620.43,6568.44,568.87M,0.57%
12-Aug-13,6574.34,6583.39,6598.39,6547.00,478.93M,-0.14%
9-Aug-13,6583.39,6529.68,6601.21,6529.48,632.93M,0.82%
8-Aug-13,6529.68,6511.21,6558.59,6507.24,566.01M,0.28%
7-Aug-13,6511.21,6604.21,6624.99,6511.21,641.42M,-1.41%
6-Aug-13,6604.21,6619.58,6630.14,6562.32,698.36M,-0.23%
5-Aug-13,6619.58,6647.87,6684.95,6590.10,604.09M,-0.43%
2-Aug-13,6647.87,6681.98,6696.63,6623.85,660.35M,-0.51%
1-Aug-13,6681.98,6621.06,6681.98,6607.27,977.04M,0.92%
31-Jul-13,6621.06,6570.95,6659.35,6556.65,751.66M,0.76%
30-Jul-13,6570.95,6560.25,6600.72,6560.25,696.26M,0.16%
29-Jul-13,6560.25,6554.79,6606.36,6544.14,487.60M,0.08%
26-Jul-13,6554.79,6587.95,6629.89,6535.18,455.32M,-0.50%
25-Jul-13,6587.95,6620.43,6625.35,6540.42,505.14M,-0.49%
24-Jul-13,6620.43,6597.44,6662.19,6581.61,595.81M,0.35%
23-Jul-13,6597.44,6623.17,6657.66,6597.44,673.30M,-0.39%
22-Jul-13,6623.17,6630.67,6645.01,6608.17,502.87M,-0.11%
19-Jul-13,6630.67,6634.36,6635.22,6592.10,756.02M,-0.06%
18-Jul-13,6634.36,6571.93,6657.38,6555.82,657.40M,0.95%
17-Jul-13,6571.93,6556.35,6595.62,6517.38,694.63M,0.24%
16-Jul-13,6556.35,6586.11,6606.42,6556.35,746.49M,-0.45%
15-Jul-13,6586.11,6544.94,6605.90,6544.94,585.05M,0.63%
12-Jul-13,6544.94,6543.41,6583.90,6540.24,595.53M,0.02%
11-Jul-13,6543.41,6504.96,6585.74,6504.96,646.07M,0.59%
10-Jul-13,6504.96,6513.08,6535.91,6472.41,606.50M,-0.12%
9-Jul-13,6513.08,6450.07,6530.86,6450.07,658.61M,0.98%
8-Jul-13,6450.07,6375.52,6476.09,6375.52,622.00M,1.17%
5-Jul-13,6375.52,6421.67,6498.59,6364.38,725.87M,-0.72%
4-Jul-13,6421.67,6229.87,6431.41,6229.87,824.17M,3.08%
3-Jul-13,6229.87,6303.94,6303.94,6185.21,663.01M,-1.17%
2-Jul-13,6303.94,6307.78,6314.13,6266.50,560.70M,-0.06%
1-Jul-13,6307.78,6215.47,6317.02,6215.44,657.03M,1.49%
28-Jun-13,6215.47,6243.40,6268.84,6207.72,920.73M,-0.45%
27-Jun-13,6243.40,6165.48,6271.80,6165.45,803.97M,1.26%
